"","x"
"1",452389
"2",452387.999994115
"3",452386.999990441
"4",452385.999988978
"5",452384.999989725
"6",452383.999992683
"7",452382.999997851
"8",452382.000005229
"9",452381.000014818
"10",452380.000026618
"11",452379.000040628
"12",452378.000056848
"13",452377.000075279
"14",452376.00009592
"15",452375.000118772
"16",452374.000143834
"17",452373.000171107
"18",452372.00020059
"19",452371.000232284
"20",452370.000266188
"21",452369.000302302
"22",452368.000340627
"23",452367.000381162
"24",452366.000423908
"25",452365.000468864
"26",452364.00051603
"27",452363.000565407
"28",452362.000616994
"29",452361.000670792
"30",452360.0007268
"31",452359.000785018
"32",452358.000845447
"33",452357.000908086
"34",452356.000972936
"35",452355.001039996
"36",452354.001109266
"37",452353.001180746
"38",452352.001254437
"39",452351.001330338
"40",452350.00140845
"41",452349.001488772
"42",452348.001571304
"43",452347.001656047
"44",452346.001742999
"45",452345.001832163
"46",452344.001923536
"47",452343.00201712
"48",452342.002112914
"49",452341.002210918
"50",452340.002311133
"51",452339.002413558
"52",452338.002518193
"53",452337.002625038
"54",452336.002734094
"55",452335.00284536
"56",452334.002958836
"57",452333.003074523
"58",452332.003192419
"59",452331.003312526
"60",452330.003434843
"61",452329.003559371
"62",452328.003686109
"63",452327.003815056
"64",452326.003946214
"65",452325.004079583
"66",452324.004215161
"67",452323.00435295
"68",452322.004492949
"69",452321.004635158
"70",452320.004779577
"71",452319.004926207
"72",452318.005075046
"73",452317.005226096
"74",452316.005379356
"75",452315.005534826
"76",452314.005692506
"77",452313.005852397
"78",452312.006014497
"79",452311.006178808
"80",452310.006345329
"81",452309.00651406
"82",452308.006685001
"83",452307.006858152
"84",452306.007033513
"85",452305.007211085
"86",452304.007390866
"87",452303.007572858
"88",452302.00775706
"89",452301.007943472
"90",452300.008132093
"91",452299.008322925
"92",452298.008515968
"93",452297.00871122
"94",452296.008908682
"95",452295.009108354
"96",452294.009310237
"97",452293.009514329
"98",452292.009720632
"99",452291.009929144
"100",452290.010139867
"101",452289.010352799
"102",452288.010567942
"103",452287.010785295
"104",452286.011004857
"105",452285.01122663
"106",452284.011450613
"107",452283.011676805
"108",452282.011905208
"109",452281.012135821
"110",452280.012368643
"111",452279.012603676
"112",452278.012840919
"113",452277.013080371
"114",452276.013322034
"115",452275.013565906
"116",452274.013811989
"117",452273.014060281
"118",452272.014310784
"119",452271.014563496
"120",452270.014818418
"121",452269.015075551
"122",452268.015334893
"123",452267.015596445
"124",452266.015860207
"125",452265.016126179
"126",452264.016394361
"127",452263.016664753
"128",452262.016937354
"129",452261.017212166
"130",452260.017489187
"131",452259.017768419
"132",452258.01804986
"133",452257.018333511
"134",452256.018619372
"135",452255.018907443
"136",452254.019197723
"137",452253.019490214
"138",452252.019784914
"139",452251.020081825
"140",452250.020380945
"141",452249.020682275
"142",452248.020985815
"143",452247.021291564
"144",452246.021599524
"145",452245.021909693
"146",452244.022222072
"147",452243.022536661
"148",452242.02285346
"149",452241.023172468
"150",452240.023493686
"151",452239.023817114
"152",452238.024142752
"153",452237.0244706
"154",452236.024800657
"155",452235.025132924
"156",452234.025467401
"157",452233.025804088
"158",452232.026142985
"159",452231.026484091
"160",452230.026827407
"161",452229.027172932
"162",452228.027520668
"163",452227.027870613
"164",452226.028222768
"165",452225.028577132
"166",452224.028933707
"167",452223.029292491
"168",452222.029653485
"169",452221.030016688
"170",452220.030382101
"171",452219.030749724
"172",452218.031119557
"173",452217.031491599
"174",452216.031865851
"175",452215.032242312
"176",452214.032620983
"177",452213.033001864
"178",452212.033384955
"179",452211.033770255
"180",452210.034157765
"181",452209.034547484
"182",452208.034939414
"183",452207.035333552
"184",452206.035729901
"185",452205.036128459
"186",452204.036529226
"187",452203.036932204
"188",452202.03733739
"189",452201.037744787
"190",452200.038154393
"191",452199.038566209
"192",452198.038980234
"193",452197.039396469
"194",452196.039814913
"195",452195.040235567
"196",452194.040658431
"197",452193.041083504
"198",452192.041510787
"199",452191.041940279
"200",452190.042371981
"201",452189.042805892
"202",452188.043242013
"203",452187.043680343
"204",452186.044120883
"205",452185.044563633
"206",452184.045008592
"207",452183.04545576
"208",452182.045905138
"209",452181.046356726
"210",452180.046810523
"211",452179.047266529
"212",452178.047724745
"213",452177.048185171
"214",452176.048647806
"215",452175.04911265
"216",452174.049579704
"217",452173.050048968
"218",452172.050520441
"219",452171.050994123
"220",452170.051470015
"221",452169.051948116
"222",452168.052428427
"223",452167.052910947
"224",452166.053395676
"225",452165.053882615
"226",452164.054371763
"227",452163.054863121
"228",452162.055356689
"229",452161.055852465
"230",452160.056350451
"231",452159.056850647
"232",452158.057353051
"233",452157.057857666
"234",452156.058364489
"235",452155.058873522
"236",452154.059384765
"237",452153.059898216
"238",452152.060413877
"239",452151.060931748
"240",452150.061451828
"241",452149.061974117
"242",452148.062498615
"243",452147.063025323
"244",452146.06355424
"245",452145.064085367
"246",452144.064618703
"247",452143.065154248
"248",452142.065692002
"249",452141.066231966
"250",452140.066774139
"251",452139.067318522
"252",452138.067865113
"253",452137.068413914
"254",452136.068964925
"255",452135.069518144
"256",452134.070073573
"257",452133.070631211
"258",452132.071191059
"259",452131.071753115
